String,Young's
diameter,modulus
(mm),est. (GPa)
,
0.39,9.84
0.41,9.62
0.43,9.41
0.45,9.21
0.47,9.02
0.5,8.75
0.52,8.58
0.54,8.41
0.56,8.26
0.58,8.10
0.6,7.96
0.62,7.82
0.64,7.99
0.66,7.86
0.68,7.73
0.7,7.61
0.73,7.43
0.74,7.37
0.76,7.26
0.78,7.15
0.79,7.32
0.8,7.26
0.85,7.01
0.88,6.86
0.9,6.77
0.92,6.68
0.95,6.55
0.98,6.42
1,6.34
1.03,6.22
1.05,6.14
1.08,6.49
1.1,6.42
1.13,6.31
1.15,6.24
1.18,6.13
1.2,6.07
1.23,6.10
1.25,6.04
1.28,5.94
1.3,5.88
1.33,5.79
1.35,5.73
1.43,5.50
1.44,5.48
1.45,5.45
1.52,5.27
1.53,5.24
1.55,5.19
1.58,6.13
1.6,6.08
1.65,5.95
1.68,5.88
1.7,5.83
1.75,5.72
1.78,5.65
1.8,5.61
1.83,5.91
1.85,5.87
1.9,5.76
1.96,5.64
2,5.56
2.05,5.46
2.08,5.41
2.1,5.37
2.18,5.31
2.2,5.28
2.29,5.13
2.35,5.03
2.5,4.80
